"Title","IssueID","IssueType","Description","PhotoUrl","Latitude","Longitude","LocationAddress","County","City","Agency","ReportedBy","ReportedDate","AIAnalysis","AIDetectedConditions","Severity","RecommendedPriority","RecommendedAction","AIConfidence","Status","AssignedTo","ApprovedBy","ApprovalDate","ResolvedDate","ResolutionNotes","EstimatedCost","AssetID","DuplicateOf"
"Road Sign report 011","FI-00011","Road Sign","Field report 11 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-11.jpg","44.060500","-123.089200","111 SW Demo Ave, Lakeside","River County","Lakeside","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-10T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch Public Works crew to inspect, secure area, and complete repair.","81","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-10-10T18:00:00","","","1757","SIGN-011",""
"Water Leak report 012","FI-00012","Water Leak","Field report 12 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-12.jpg","44.068700","-121.320100","112 SW Demo Ave, Summit","Mountain County","Summit","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-13T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","82","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-10-13T19:00:00","","","1894","WTR-012",""
"Park Maintenance report 013","FI-00013","Park Maintenance","Field report 13 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-13.jpg","45.527800","-122.685600","113 SW Demo Ave, Metro City","North County","Metro City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-16T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","83","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","2031","PARK-013",""
"Building Inspection report 014","FI-00014","Building Inspection","Field report 14 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-14.jpg","45.522900","-122.999400","114 SW Demo Ave, Hillview","West County","Hillview","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-19T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","84","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-10-19T21:00:00","","","2168","BLDG-014",""
"Road Sign report 015","FI-00015","Road Sign","Field report 15 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-15.jpg","44.060500","-123.089200","115 SW Demo Ave, Lakeside","River County","Lakeside","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-22T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","85","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-10-22T22:00:00","2025-10-29T16:00:00","Repair completed and verified.","2305","SIGN-011",""
"Road Sign report 016","FI-00016","Road Sign","Field report 16 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-16.jpg","44.947100","-123.037500","116 SW Demo Ave, Capital City","Central County","Capital City","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-25T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Public Works crew to inspect, secure area, and complete repair.","86","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","2442","SIGN-016",""
"Water Leak report 017","FI-00017","Water Leak","Field report 17 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-17.jpg","44.058400","-123.091600","117 SW Demo Ave, Lakeside","River County","Lakeside","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-28T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","87","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-10-28T16:00:00","2025-11-06T10:00:00","Repair completed and verified.","2579","WTR-017",""
"Park Maintenance report 018","FI-00018","Park Maintenance","Field report 18 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-18.jpg","44.066600","-121.322500","118 SW Demo Ave, Summit","Mountain County","Summit","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-31T11:00:00","AI detected water damage; missing hardware and recommends P1 handling.","water damage; missing hardware","Critical","P1","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","88","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-10-31T17:00:00","2025-11-01T11:00:00","Repair completed and verified.","2716","PARK-018",""
"Building Inspection report 019","FI-00019","Building Inspection","Field report 19 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-19.jpg","45.525700","-122.688000","119 SW Demo Ave, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-03T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","89","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-11-03T18:00:00","","","2853","BLDG-019",""
"Park Maintenance report 020","FI-00020","Park Maintenance","Field report 20 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-20.jpg","45.516800","-122.676900","120 SW Demo Ave, Metro City","North County","Metro City","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-06T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","90","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-11-06T19:00:00","","","2990","PARK-013",""
"Road Sign report 021","FI-00021","Road Sign","Field report 21 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-21.jpg","45.357300","-122.609200","121 SW Demo Ave, Riverton","South County","Riverton","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-09T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Public Works crew to inspect, secure area, and complete repair.","91","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","3127","SIGN-021",""
"Water Leak report 022","FI-00022","Water Leak","Field report 22 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-22.jpg","44.945000","-123.039900","122 SW Demo Ave, Capital City","Central County","Capital City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-12T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","92","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-11-12T21:00:00","","","3264","WTR-022",""
"Park Maintenance report 023","FI-00023","Park Maintenance","Field report 23 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-23.jpg","44.056300","-123.094000","123 SW Demo Ave, Lakeside","River County","Lakeside","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-15T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","93","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-11-15T22:00:00","2025-11-21T16:00:00","Repair completed and verified.","3401","PARK-023",""
"Building Inspection report 024","FI-00024","Building Inspection","Field report 24 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-24.jpg","44.064500","-121.324900","124 SW Demo Ave, Summit","Mountain County","Summit","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-18T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","94","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","3538","BLDG-024",""
"Facilities report 025","FI-00025","Facilities","Field report 25 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-25.jpg","45.523600","-122.678400","125 SW Demo Ave, Metro City","North County","Metro City","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-21T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","70","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-11-21T16:00:00","2025-11-29T10:00:00","Repair completed and verified.","3675","FAC-025",""
"Road Sign report 026","FI-00026","Road Sign","Field report 26 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-26.jpg","45.533400","-122.992200","126 SW Demo Ave, Hillview","West County","Hillview","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-24T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","71","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-11-24T17:00:00","2025-12-03T11:00:00","Repair completed and verified.","3812","SIGN-026",""
"Water Leak report 027","FI-00027","Water Leak","Field report 27 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-27.jpg","45.369900","-122.611600","127 SW Demo Ave, Riverton","South County","Riverton","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-27T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","72","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-11-27T18:00:00","","","3949","WTR-027",""
"Park Maintenance report 028","FI-00028","Park Maintenance","Field report 28 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-28.jpg","44.942900","-123.042300","128 SW Demo Ave, Capital City","Central County","Capital City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-11-30T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","73","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-11-30T19:00:00","","","4086","PARK-028",""
"Building Inspection report 029","FI-00029","Building Inspection","Field report 29 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-29.jpg","44.054200","-123.096400","129 SW Demo Ave, Lakeside","River County","Lakeside","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-03T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","74","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","4223","BLDG-029",""
"Water Leak report 030","FI-00030","Water Leak","Field report 30 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-30.jpg","45.519900","-122.681500","130 SW Demo Ave, Metro City","North County","Metro City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-06T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","75","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-12-06T21:00:00","","","4360","WTR-007",""
"Road Sign report 031","FI-00031","Road Sign","Field report 31 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-31.jpg","45.521500","-122.680800","131 SW Demo Ave, Metro City","North County","Metro City","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-09T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","76","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-12-09T22:00:00","2025-12-14T16:00:00","Repair completed and verified.","4497","SIGN-031",""
"Water Leak report 032","FI-00032","Water Leak","Field report 32 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-32.jpg","45.531300","-122.994600","132 SW Demo Ave, Hillview","West County","Hillview","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-12T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","77","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","4634","WTR-032",""
"Park Maintenance report 033","FI-00033","Park Maintenance","Field report 33 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-33.jpg","45.367800","-122.614000","133 SW Demo Ave, Riverton","South County","Riverton","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-15T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","78","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-12-15T16:00:00","2025-12-22T10:00:00","Repair completed and verified.","4771","PARK-033",""
"Building Inspection report 034","FI-00034","Building Inspection","Field report 34 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-34.jpg","44.955500","-123.044700","134 SW Demo Ave, Capital City","Central County","Capital City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-18T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","79","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-12-18T17:00:00","2025-12-26T11:00:00","Repair completed and verified.","4908","BLDG-034",""
"Road Sign report 035","FI-00035","Road Sign","Field report 35 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-35.jpg","45.357300","-122.609200","135 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-21T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","80","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-12-21T18:00:00","","","5045","SIGN-021",""
"Road Sign report 036","FI-00036","Road Sign","Field report 36 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-36.jpg","44.060300","-121.317700","136 SW Demo Ave, Summit","Mountain County","Summit","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-24T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","81","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-12-24T19:00:00","","","5182","SIGN-036",""
"Water Leak report 037","FI-00037","Water Leak","Field report 37 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-37.jpg","45.519400","-122.683200","137 SW Demo Ave, Metro City","North County","Metro City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-27T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","82","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","5319","WTR-037",""
"Park Maintenance report 038","FI-00038","Park Maintenance","Field report 38 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-38.jpg","45.529200","-122.997000","138 SW Demo Ave, Hillview","West County","Hillview","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-12-30T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","83","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-12-30T21:00:00","","","5456","PARK-038",""
"Building Inspection report 039","FI-00039","Building Inspection","Field report 39 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-39.jpg","45.365700","-122.616400","139 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-02T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","84","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-01-02T22:00:00","2026-01-06T16:00:00","Repair completed and verified.","5593","BLDG-039",""
"Facilities report 040","FI-00040","Facilities","Field report 40 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-40.jpg","44.953400","-123.035100","140 SW Demo Ave, Capital City","Central County","Capital City","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-05T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","85","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","5730","FAC-040",""
